 pid |        state        | wait_event_type | wait_event |    query_age     |     xact_age     | blocking_pids |                                                                                                                    query                                                                                                                    
-----+---------------------+-----------------+------------+------------------+------------------+---------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  72 | idle                | Client          | ClientRead | 00:00:01.575403  |                  | {}            |                                                                                                                                                                                                                                            +
     |                     |                 |            |                  |                  |               |                         SELECT *,                                                                                                                                                                                                          +
     |                     |                 |            |                  |                  |               |                                 (case pg_is_in_recovery() when 't' then pg_last_wal_receive_lsn() else pg_current_wal_lsn() end) AS pg_current_wal_lsn,                                                                                    +
     |                     |                 |            |                  |                  |               |                                 (case pg_is_in_recovery() when 't' then pg_wal_lsn_diff(pg_last_wal_receive_lsn(), pg_lsn('0/0'))::float else pg_wal_lsn_diff(pg_current_wal_lsn(), pg_lsn('0/0'))::float end) AS pg_current_wal_lsn_bytes,+
     |                     |                 |            |                  |                  |               |                                 (case pg_is_in_recovery() when 't' then pg_wal_lsn_diff(pg_last_wal_receive_lsn(), replay_lsn)::float else pg_wal_lsn_diff(pg_current_wal_lsn(), replay_lsn)::float end) AS pg_wal_lsn_diff                +
     |                     |                 |            |                  |                  |               |                         FROM pg_stat_replication                                                                                                                                                                                           +
     |                     |                 |            |                  |                  |               |                         
 405 | active              |                 |            | 00:00:00         | 00:00:00         | {}            | SELECT                                                                                                                                                                                                                                     +
     |                     |                 |            |                  |                  |               |     pid,                                                                                                                                                                                                                                   +
     |                     |                 |            |                  |                  |               |     state,                                                                                                                                                                                                                                 +
     |                     |                 |            |                  |                  |               |     wait_event_type,                                                                                                                                                                                                                       +
     |                     |                 |            |                  |                  |               |     wait_event,                                                                                                                                                                                                                            +
     |                     |                 |            |                  |                  |               |     now() - query_start AS query_age,                                                                                                                                                                                                      +
     |                     |                 |            |                  |                  |               |     now() - xact_start AS xact_age,                                                                                                                                                                                                        +
     |                     |                 |            |                  |                  |               |     pg_blocking_pids(pid) AS blocking_pids,                                                                                                                                                                                                +
     |                     |                 |            |                  |                  |               |     query                                                                                                                                                                                                                                  +
     |                     |                 |            |                  |                  |               | FROM pg_stat_activity                                                                                                                                                                                                                      +
     |                     |                 |            |                  |                  |               | WHERE datname = 'reservation'                                                                                                                                                                                                              +
     |                     |                 |            |                  |                  |               | ORDER BY query_age DESC NULLS LAST, pid;
 137 | idle in transaction | Client          | ClientRead | -00:00:00.002357 | -00:00:00.002265 | {}            | update concert c1_0 set remaining_seats=(c1_0.remaining_seats-1) where c1_0.id=$1 and c1_0.remaining_seats>0
 132 | idle in transaction | Client          | ClientRead | -00:00:00.003014 | -00:00:00.002988 | {}            | update concert c1_0 set remaining_seats=(c1_0.remaining_seats-1) where c1_0.id=$1 and c1_0.remaining_seats>0
 138 | idle                | Client          | ClientRead | -00:00:00.004605 |                  | {}            | ROLLBACK
 140 | idle                | Client          | ClientRead | -00:00:00.004612 |                  | {}            | ROLLBACK
 133 | idle in transaction | Client          | ClientRead | -00:00:00.004646 | -00:00:00.004563 | {}            | update concert c1_0 set remaining_seats=(c1_0.remaining_seats-1) where c1_0.id=$1 and c1_0.remaining_seats>0
 135 | idle in transaction | Client          | ClientRead | -00:00:00.004671 | -00:00:00.004624 | {}            | update concert c1_0 set remaining_seats=(c1_0.remaining_seats-1) where c1_0.id=$1 and c1_0.remaining_seats>0
 134 | idle in transaction | Client          | ClientRead | -00:00:00.004678 | -00:00:00.004646 | {}            | update concert c1_0 set remaining_seats=(c1_0.remaining_seats-1) where c1_0.id=$1 and c1_0.remaining_seats>0
 141 | idle in transaction | Client          | ClientRead | -00:00:00.004724 | -00:00:00.004564 | {}            | update concert c1_0 set remaining_seats=(c1_0.remaining_seats-1) where c1_0.id=$1 and c1_0.remaining_seats>0
 136 | idle in transaction | Client          | ClientRead | -00:00:00.00499  | -00:00:00.004935 | {}            | update concert c1_0 set remaining_seats=(c1_0.remaining_seats-1) where c1_0.id=$1 and c1_0.remaining_seats>0
 139 | active              |                 |            | -00:00:00.005357 | -00:00:00.00531  | {}            | update concert c1_0 set remaining_seats=(c1_0.remaining_seats-1) where c1_0.id=$1 and c1_0.remaining_seats>0
(12 rows)

