 pid |        state        | wait_event_type | wait_event |    query_age     |     xact_age     | blocking_pids |                                                                                                                    query                                                                                                                    
-----+---------------------+-----------------+------------+------------------+------------------+---------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 342 | active              |                 |            | 00:00:00         | 00:00:00         | {}            | SELECT                                                                                                                                                                                                                                     +
     |                     |                 |            |                  |                  |               |     pid,                                                                                                                                                                                                                                   +
     |                     |                 |            |                  |                  |               |     state,                                                                                                                                                                                                                                 +
     |                     |                 |            |                  |                  |               |     wait_event_type,                                                                                                                                                                                                                       +
     |                     |                 |            |                  |                  |               |     wait_event,                                                                                                                                                                                                                            +
     |                     |                 |            |                  |                  |               |     now() - query_start AS query_age,                                                                                                                                                                                                      +
     |                     |                 |            |                  |                  |               |     now() - xact_start AS xact_age,                                                                                                                                                                                                        +
     |                     |                 |            |                  |                  |               |     pg_blocking_pids(pid) AS blocking_pids,                                                                                                                                                                                                +
     |                     |                 |            |                  |                  |               |     query                                                                                                                                                                                                                                  +
     |                     |                 |            |                  |                  |               | FROM pg_stat_activity                                                                                                                                                                                                                      +
     |                     |                 |            |                  |                  |               | WHERE datname = 'reservation'                                                                                                                                                                                                              +
     |                     |                 |            |                  |                  |               | ORDER BY query_age DESC NULLS LAST, pid;
 137 | idle                | Client          | ClientRead | -00:00:00.003608 |                  | {}            | ROLLBACK
 136 | idle in transaction | Client          | ClientRead | -00:00:00.003678 | -00:00:00.003572 | {}            | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1
  72 | active              |                 |            | -00:00:00.003695 | -00:00:00.003695 | {}            |                                                                                                                                                                                                                                            +
     |                     |                 |            |                  |                  |               |                         SELECT *,                                                                                                                                                                                                          +
     |                     |                 |            |                  |                  |               |                                 (case pg_is_in_recovery() when 't' then pg_last_wal_receive_lsn() else pg_current_wal_lsn() end) AS pg_current_wal_lsn,                                                                                    +
     |                     |                 |            |                  |                  |               |                                 (case pg_is_in_recovery() when 't' then pg_wal_lsn_diff(pg_last_wal_receive_lsn(), pg_lsn('0/0'))::float else pg_wal_lsn_diff(pg_current_wal_lsn(), pg_lsn('0/0'))::float end) AS pg_current_wal_lsn_bytes,+
     |                     |                 |            |                  |                  |               |                                 (case pg_is_in_recovery() when 't' then pg_wal_lsn_diff(pg_last_wal_receive_lsn(), replay_lsn)::float else pg_wal_lsn_diff(pg_current_wal_lsn(), replay_lsn)::float end) AS pg_wal_lsn_diff                +
     |                     |                 |            |                  |                  |               |                         FROM pg_stat_replication                                                                                                                                                                                           +
     |                     |                 |            |                  |                  |               |                         
 139 | idle                | Client          | ClientRead | -00:00:00.003821 |                  | {}            | ROLLBACK
 133 | idle in transaction |                 |            | -00:00:00.003851 | -00:00:00.003807 | {}            | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1
 132 | idle in transaction | Client          | ClientRead | -00:00:00.003862 | -00:00:00.003807 | {}            | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1
 135 | idle                | Client          | ClientRead | -00:00:00.003908 |                  | {}            | ROLLBACK
 134 | idle                | Client          | ClientRead | -00:00:00.004037 |                  | {}            | ROLLBACK
 140 | idle                | Client          | ClientRead | -00:00:00.004083 |                  | {}            | ROLLBACK
 141 | idle in transaction | Client          | ClientRead | -00:00:00.00418  | -00:00:00.004142 | {}            | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1
 343 | idle                | Client          | ClientRead | -00:00:00.004304 |                  | {}            | SELECT                                                                                                                                                                                                                                     +
     |                     |                 |            |                  |                  |               |                 buffers_clean                                                                                                                                                                                                              +
     |                     |                 |            |                  |                  |               |                 ,maxwritten_clean                                                                                                                                                                                                          +
     |                     |                 |            |                  |                  |               |                 ,buffers_alloc                                                                                                                                                                                                             +
     |                     |                 |            |                  |                  |               |                 ,stats_reset                                                                                                                                                                                                               +
     |                     |                 |            |                  |                  |               |         FROM pg_stat_bgwriter;
 138 | idle in transaction | Client          | ClientRead | -00:00:00.004402 | -00:00:00.004182 | {}            | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1
(13 rows)

