 pid |        state        | wait_event_type |  wait_event   |    query_age     |     xact_age     |       blocking_pids       |                                                                                                                    query                                                                                                                    
-----+---------------------+-----------------+---------------+------------------+------------------+---------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  72 | idle                | Client          | ClientRead    | 00:00:01.357335  |                  | {}                        |                                                                                                                                                                                                                                            +
     |                     |                 |               |                  |                  |                           |                         SELECT *,                                                                                                                                                                                                          +
     |                     |                 |               |                  |                  |                           |                                 (case pg_is_in_recovery() when 't' then pg_last_wal_receive_lsn() else pg_current_wal_lsn() end) AS pg_current_wal_lsn,                                                                                    +
     |                     |                 |               |                  |                  |                           |                                 (case pg_is_in_recovery() when 't' then pg_wal_lsn_diff(pg_last_wal_receive_lsn(), pg_lsn('0/0'))::float else pg_wal_lsn_diff(pg_current_wal_lsn(), pg_lsn('0/0'))::float end) AS pg_current_wal_lsn_bytes,+
     |                     |                 |               |                  |                  |                           |                                 (case pg_is_in_recovery() when 't' then pg_wal_lsn_diff(pg_last_wal_receive_lsn(), replay_lsn)::float else pg_wal_lsn_diff(pg_current_wal_lsn(), replay_lsn)::float end) AS pg_wal_lsn_diff                +
     |                     |                 |               |                  |                  |                           |                         FROM pg_stat_replication                                                                                                                                                                                           +
     |                     |                 |               |                  |                  |                           |                         
 136 | idle in transaction | Client          | ClientRead    | 00:00:00.009597  | 00:00:00.009672  | {}                        | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 139 | active              | Lock            | transactionid | 00:00:00.008082  | 00:00:00.008181  | {136}                     | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 141 | active              | Lock            | tuple         | 00:00:00.007105  | 00:00:00.007174  | {139}                     | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 135 | active              | Lock            | tuple         | 00:00:00.006117  | 00:00:00.006176  | {139,141}                 | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 138 | active              | Lock            | tuple         | 00:00:00.003463  | 00:00:00.003538  | {139,141,135}             | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 133 | active              | Lock            | tuple         | 00:00:00.000404  | 00:00:00.00056   | {139,141,135,138}         | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 223 | active              |                 |               | 00:00:00         | 00:00:00         | {}                        | SELECT                                                                                                                                                                                                                                     +
     |                     |                 |               |                  |                  |                           |     pid,                                                                                                                                                                                                                                   +
     |                     |                 |               |                  |                  |                           |     state,                                                                                                                                                                                                                                 +
     |                     |                 |               |                  |                  |                           |     wait_event_type,                                                                                                                                                                                                                       +
     |                     |                 |               |                  |                  |                           |     wait_event,                                                                                                                                                                                                                            +
     |                     |                 |               |                  |                  |                           |     now() - query_start AS query_age,                                                                                                                                                                                                      +
     |                     |                 |               |                  |                  |                           |     now() - xact_start AS xact_age,                                                                                                                                                                                                        +
     |                     |                 |               |                  |                  |                           |     pg_blocking_pids(pid) AS blocking_pids,                                                                                                                                                                                                +
     |                     |                 |               |                  |                  |                           |     query                                                                                                                                                                                                                                  +
     |                     |                 |               |                  |                  |                           | FROM pg_stat_activity                                                                                                                                                                                                                      +
     |                     |                 |               |                  |                  |                           | WHERE datname = 'reservation'                                                                                                                                                                                                              +
     |                     |                 |               |                  |                  |                           | ORDER BY query_age DESC NULLS LAST, pid;
 137 | active              | Lock            | tuple         | -00:00:00.001335 | -00:00:00.001267 | {139,141,135,138,133}     | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 132 | idle                | Client          | ClientRead    | -00:00:00.002683 |                  | {}                        | ROLLBACK
 134 | active              | Lock            | tuple         | -00:00:00.004201 | -00:00:00.004105 | {139,141,135,138,133,137} | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 140 | idle                | Client          | ClientRead    | -00:00:00.004872 |                  | {}                        | ROLLBACK
(12 rows)

