  pid  | state  | wait_event_type |     wait_event      |                                                              query
-------+--------+-----------------+---------------------+----------------------------------------------------------------------------------------------------------------------------------
    73 | idle   | Client          | ClientRead          |                                                                                                                                 +
       |        |                 |                     |                         SELECT                                                                                                  +
       |        |                 |                     |                                 pg_database.datname,                                                                            +
       |        |                 |                     |                                 tmp.state,                                                                                      +
       |        |                 |                     |                                 tmp2.usename,                                                                                   +
       |        |                 |                     |                                 tmp2.application_name,                                                                          +
       |        |                 |                     |                                 tmp2.backend_type,                                                                              +
       |        |                 |                     |                                 tmp2.wait_event_type,                                                                           +
       |        |                 |                     |                                 tmp2.wait_event,                                                                                +
       |        |                 |                     |                                 COALESCE(count,0) as count,                                                                     +
       |        |                 |                     |                                 COALESCE(max_tx_duration,0) as max_tx_duration                                                  +
       |        |                 |                     |                         FROM                                                                                                    +
       |        |                 |                     |                                 (                                                                                               +
       |        |                 |                     |                                   VALUES ('active'),                                                                            +
       |        |                 |                     |                                                  ('idle'),                                                                      +
       |        |                 |                     |                                                  ('idle in transaction'),                                                       +
       |        |                 |                     |                                                  ('idle in transaction (aborted)'),                                             +
       |        |                 |                     |                                                  ('fastpath function call'),                                                    +
       |        |                 |                     |                                                  ('disabled')                                                                   +
       |        |                 |                     |                                 ) AS tmp(state) CROSS JOIN pg_database                                                          +
       |        |                 |                     |                         LEFT JOIN                                                                                               +
       |        |                 |                     |                         (                                                                                                       +
       |        |                 |                     |                                 SELECT                                                                                          +
       |        |                 |                     |                                         datname,                                                                                +
       |        |                 |                     |                                         state,                                                                                  +
       |        |                 |                     |                                         usename,                                                                                +
       |        |                 |                     |                                         application_name,                                                                       +
       |        |                 |                     |                                         backend_type,                                                                           +
       |        |                 |                     |                                         wait_event_type,                                                                        +
       |        |                 |                     |                                         wait_event,                                                                             +
       |        |                 |                     |                                         count(*) AS count,                                                                      +
       |        |                 |                     |                                         MAX(EXTRACT(EPOCH FROM now() - xact_start))::float AS max_tx_duration                   +
       |        |                 |                     |                                 FROM pg_stat_activity                                                                           +
       |        |                 |                     |                                 WHERE pid <> pg_backend_pid()                                                                   +
       |        |                 |                     |                                 GROUP BY datname,state,usename,application_name,backend_type,wait_event_type,wait_event) AS tmp2+
       |        |                 |                     |                                 ON tmp.state = tmp2.state AND pg_database.datname = tmp2.datname                                +
       |        |                 |                     |
 13738 | active | Lock            | tuple               | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 13732 | active | Lock            | tuple               | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 13734 | active | Lock            | tuple               | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 13736 | active | Lock            | tuple               | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 13730 | active | Lock            | tuple               | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 13731 | active | Lock            | tuple               | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 13737 | active | Lock            | transactionid       | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 13735 | active | Lock            | tuple               | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 13739 | active | Lock            | tuple               | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
    63 |        | Activity        | AutovacuumMain      |
    64 |        | Activity        | LogicalLauncherMain |
    59 |        | Activity        | CheckpointerMain    |
    60 |        | Activity        | BgwriterHibernate   |
    62 |        | Activity        | WalWriterMain       |
(15 rows)
