 pid  | state  | wait_event_type |  wait_event   |    query_age     |     xact_age     |                                                                                                                blocking_pids                                                                                                                 |                                                                                                                    query                                                                                                                    
------+--------+-----------------+---------------+------------------+------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   73 | idle   | Client          | ClientRead    | 00:00:02.562394  |                  | {}                                                                                                                                                                                                                                           |                                                                                                                                                                                                                                            +
      |        |                 |               |                  |                  |                                                                                                                                                                                                                                              |                         SELECT *,                                                                                                                                                                                                          +
      |        |                 |               |                  |                  |                                                                                                                                                                                                                                              |                                 (case pg_is_in_recovery() when 't' then pg_last_wal_receive_lsn() else pg_current_wal_lsn() end) AS pg_current_wal_lsn,                                                                                    +
      |        |                 |               |                  |                  |                                                                                                                                                                                                                                              |                                 (case pg_is_in_recovery() when 't' then pg_wal_lsn_diff(pg_last_wal_receive_lsn(), pg_lsn('0/0'))::float else pg_wal_lsn_diff(pg_current_wal_lsn(), pg_lsn('0/0'))::float end) AS pg_current_wal_lsn_bytes,+
      |        |                 |               |                  |                  |                                                                                                                                                                                                                                              |                                 (case pg_is_in_recovery() when 't' then pg_wal_lsn_diff(pg_last_wal_receive_lsn(), replay_lsn)::float else pg_wal_lsn_diff(pg_current_wal_lsn(), replay_lsn)::float end) AS pg_wal_lsn_diff                +
      |        |                 |               |                  |                  |                                                                                                                                                                                                                                              |                         FROM pg_stat_replication                                                                                                                                                                                           +
      |        |                 |               |                  |                  |                                                                                                                                                                                                                                              |                         
 3363 | active | Lock            | transactionid | 00:00:00.151042  | 00:00:00.152854  | {3385}                                                                                                                                                                                                                                       | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3401 | active | Lock            | tuple         | 00:00:00.15036   | 00:00:00.151769  | {3363}                                                                                                                                                                                                                                       | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3364 | active | Lock            | tuple         | 00:00:00.150071  | 00:00:00.151509  | {3363,3401}                                                                                                                                                                                                                                  | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3369 | active | Lock            | tuple         | 00:00:00.149804  | 00:00:00.151184  | {3363,3401,3364}                                                                                                                                                                                                                             | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3382 | active | Lock            | tuple         | 00:00:00.149786  | 00:00:00.151165  | {3363,3401,3364,3369}                                                                                                                                                                                                                        | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3397 | active | Lock            | tuple         | 00:00:00.149375  | 00:00:00.150985  | {3363,3401,3364,3369,3382}                                                                                                                                                                                                                   | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3374 | active | Lock            | tuple         | 00:00:00.148804  | 00:00:00.150314  | {3363,3401,3364,3369,3382,3397}                                                                                                                                                                                                              | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3368 | active | Lock            | tuple         | 00:00:00.148574  | 00:00:00.149997  | {3363,3401,3364,3369,3382,3397,3374}                                                                                                                                                                                                         | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3406 | active | Lock            | tuple         | 00:00:00.148374  | 00:00:00.150175  | {3363,3401,3364,3369,3382,3397,3374,3368}                                                                                                                                                                                                    | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3378 | active | Lock            | tuple         | 00:00:00.148318  | 00:00:00.149761  | {3363,3401,3364,3369,3382,3397,3374,3368,3406}                                                                                                                                                                                               | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3354 | active | Lock            | tuple         | 00:00:00.148308  | 00:00:00.149741  | {3363,3401,3364,3369,3382,3397,3374,3368,3406,3378}                                                                                                                                                                                          | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3359 | active | Lock            | tuple         | 00:00:00.147216  | 00:00:00.148753  | {3363,3401,3364,3369,3382,3397,3374,3368,3406,3378,3354}                                                                                                                                                                                     | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3402 | active | Lock            | tuple         | 00:00:00.147206  | 00:00:00.161859  | {3363,3401,3364,3369,3382,3397,3374,3368,3406,3378,3354,3359,3377,3404,3370}                                                                                                                                                                 | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3377 | active | Lock            | tuple         | 00:00:00.146888  | 00:00:00.158652  | {3363,3401,3364,3369,3382,3397,3374,3368,3406,3378,3354,3359}                                                                                                                                                                                | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
 3404 | active | Lock            | tuple         | 00:00:00.146853  | 00:00:00.148262  | {3363,3401,3364,3369,3382,3397,3374,3368,3406,3378,3354,3359,3377}                                                                                                                                                                           | select c1_0.id,c1_0.remaining_seats,c1_0.title,c1_0.version from concert c1_0 where c1_0.id=$1 for no key update of c1_0
