  pid  |   locktype    | relation |     mode      | granted
-------+---------------+----------+---------------+---------
 14132 | tuple         | concert  | ExclusiveLock | f
 14109 | tuple         | concert  | ExclusiveLock | f
 14125 | tuple         | concert  | ExclusiveLock | f
 14121 | tuple         | concert  | ExclusiveLock | f
 14106 | tuple         | concert  | ExclusiveLock | f
 14104 | tuple         | concert  | ExclusiveLock | f
 14094 | tuple         | concert  | ExclusiveLock | f
 14127 | tuple         | concert  | ExclusiveLock | f
 14144 | tuple         | concert  | ExclusiveLock | f
 14142 | tuple         | concert  | ExclusiveLock | f
 14124 | tuple         | concert  | ExclusiveLock | f
 14114 | tuple         | concert  | ExclusiveLock | f
 14139 | tuple         | concert  | ExclusiveLock | f
 14108 | tuple         | concert  | ExclusiveLock | f
 14143 | tuple         | concert  | ExclusiveLock | f
 14103 | tuple         | concert  | ExclusiveLock | f
 14131 | tuple         | concert  | ExclusiveLock | f
 14135 | tuple         | concert  | ExclusiveLock | f
 14099 | tuple         | concert  | ExclusiveLock | f
 14120 | tuple         | concert  | ExclusiveLock | f
 14096 | tuple         | concert  | ExclusiveLock | f
 14102 | tuple         | concert  | ExclusiveLock | f
 14137 | tuple         | concert  | ExclusiveLock | f
 14123 | tuple         | concert  | ExclusiveLock | f
 14119 | tuple         | concert  | ExclusiveLock | f
 14113 | tuple         | concert  | ExclusiveLock | f
 14138 | tuple         | concert  | ExclusiveLock | f
 14140 | tuple         | concert  | ExclusiveLock | f
 14134 | tuple         | concert  | ExclusiveLock | f
 14141 | tuple         | concert  | ExclusiveLock | f
 14115 | tuple         | concert  | ExclusiveLock | f
 14128 | tuple         | concert  | ExclusiveLock | f
 14101 | tuple         | concert  | ExclusiveLock | f
 14097 | tuple         | concert  | ExclusiveLock | f
 14107 | transactionid |          | ShareLock     | f
 14126 | tuple         | concert  | ExclusiveLock | f
 14136 | tuple         | concert  | ExclusiveLock | f
 14100 | tuple         | concert  | ExclusiveLock | f
 14130 | tuple         | concert  | ExclusiveLock | f
 14122 | tuple         | concert  | ExclusiveLock | f
 14111 | tuple         | concert  | ExclusiveLock | f
 14098 | tuple         | concert  | ExclusiveLock | f
 14105 | tuple         | concert  | ExclusiveLock | f
 14117 | tuple         | concert  | ExclusiveLock | f
 14118 | tuple         | concert  | ExclusiveLock | f
 14110 | tuple         | concert  | ExclusiveLock | f
 14116 | tuple         | concert  | ExclusiveLock | f
 14129 | tuple         | concert  | ExclusiveLock | f
(48 rows)
